area_size;sunlight_need;environment_type;climate_type;fertilizer_frequency;pesticide_frequency;has_pet;has_child;suggested_plant;user_feedback;id;watering_frequency
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Lily Of The Valley;0;1210;Bi-weekly
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Zinnia;0;1211;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Galax;0;1212;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Kikar Tree (Acacia);0;1213;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Orchid (Vanilla);0;1214;Bi-weekly
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Camellia;0;1215;Monthly
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Iris;0;1216;Monthly
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Candytuft;0;1217;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Rex Begonia;0;1218;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Water Lily;0;1219;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Areca Palm;0;1220;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Brassica;0;1221;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Prayer Plant (Maranta);0;1222;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Rudbeckia;0;1223;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Buckwheat;0;1224;Daily
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Boston Fern;0;1225;Daily
Mini;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Verbena;0;1226;Daily
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Bluebell;0;1227;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Orchid Cactus;0;1228;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Scabiosa (Pincushion Flower);0;1229;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Ageratum;0;1230;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Orchid (Vanilla);0;1231;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Cabbage Palm;0;1232;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Potato Vine;0;1233;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Daffodils;0;1234;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Carob Tree;0;1235;Bi-weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Tradescantia;0;1236;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Borage;0;1237;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Goldenrods;0;1238;Every 2-3 days
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Stevia;0;1239;Daily
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Rattlesnake Plant;0;1240;Daily
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;No;No;Pineapple;0;1241;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Aglaonema (Chinese Evergreen);0;1242;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Knautia;0;1243;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Orchid (Vanilla);0;1244;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Columbine;0;1245;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Camelina;0;1246;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Calla Lily;0;1247;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Catnip;0;1248;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Banyan Tree (Bargad);0;1249;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Spider Flower;0;1250;Weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Dragonfruit Cactus;0;1251;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Hoya (Wax Plant);0;1252;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Malva (Mallow);0;1253;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Rosemary;0;1254;Monthly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Lamb'S Ear;0;1255;Monthly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Caladium;0;1256;Monthly
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Brassica;0;1257;Daily
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Indian Cress;0;1258;Daily
Medium;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Silene (Catchfly);0;1259;Daily
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Crown of Thorns;0;1260;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Tobacco Plant;0;1261;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Mallow;0;1262;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Sweet Potato Vine;0;1263;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Quaking Aspen;0;1264;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Camelina;0;1265;Every 2-3 days
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Coltsfoot;0;1266;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;String of Hearts;0;1267;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Thyme;0;1268;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Plumeria;0;1269;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Nerve Plant (Fittonia);0;1270;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Ixia;0;1271;Every 2-3 days
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Globe Thistle;0;1272;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Dusty Miller;0;1273;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Sedum;0;1274;Weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Rattlesnake Plant;0;1275;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Anigozanthos (Kangaroo Paw);0;1276;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Fiddle Leaf Fig;0;1277;Bi-weekly
Medium;Bright indirect light;Indoor;Winter;Never needed;Never needed;No;No;Currant;0;1278;Weekly
Medium;Bright indirect light;Indoor;Winter;Never needed;Never needed;No;No;Sedum;0;1279;Weekly
Medium;Bright indirect light;Indoor;Winter;Never needed;Never needed;No;No;Nettle;0;1280;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Dandelion;0;1281;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ficus Tree;0;1282;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Venus Fly Trap;0;1283;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Epazote;0;1284;Monthly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Aztec Lily;0;1285;Monthly
Small;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Sea Holly;0;1286;Monthly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;String of Bananas;0;1287;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Candytuft;0;1288;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;Yes;No;Venus Fly Trap;0;1289;Daily
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Lemongrass;0;1290;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Japanese Anemone;0;1291;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Carrot Plant;0;1292;Weekly
Medium;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Jade Pothos;0;1293;Every 2-3 days
Medium;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Lemongrass;0;1294;Every 2-3 days
Medium;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Pineapple;0;1295;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Jade Pothos;0;1296;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Helenium;0;1297;Every 2-3 days
Large;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Pineapple;0;1298;Every 2-3 days
Medium;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Devil?S Ivy;0;1299;Bi-weekly
Medium;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Stevia;0;1300;Bi-weekly
Medium;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Lavender (English);0;1301;Bi-weekly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Euphorbia;0;1302;Monthly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Wandering Jew;0;1303;Monthly
Small;Bright indirect light;Indoor;Spring;Monthly;Never needed;No;No;Eucalyptus;0;1304;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Succulents (General);0;1305;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Banana Plant;0;1306;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Bromeliad;0;1307;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ixia;0;1308;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;String of Dolphins;0;1309;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Quaking Aspen;0;1310;Weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Dragonfruit Cactus;0;1311;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Chinese Lantern Plant;0;1312;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Rex Begonia;0;1313;Bi-weekly
Large;Bright indirect light;Semi-outdoor;All seasons;Monthly;Never needed;No;No;Litchi;0;1314;Every 2-3 days
Large;Bright indirect light;Semi-outdoor;All seasons;Monthly;Never needed;No;No;Acanthus;0;1315;Every 2-3 days
Large;Bright indirect light;Semi-outdoor;All seasons;Monthly;Never needed;No;No;Tiger Lily;0;1316;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Tomato;0;1317;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Fern (Boston Fern);0;1318;Every 2-3 days
Large;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Epazote;0;1319;Every 2-3 days
Small;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Red Hot Poker (Kniphofia);0;1320;Weekly
Small;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Sweet Alyssum;0;1321;Weekly
Small;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Philodendron;0;1322;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Split-Leaf Philodendron;0;1323;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Marigold (African);0;1324;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Cineraria;0;1325;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Armeria (Thrift);0;1326;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Mimosa;0;1327;Bi-weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Bearded Iris;0;1328;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Pineapple Sage;0;1329;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Periwinkle;0;1330;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;String of Dolphins;0;1331;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Never needed;Never needed;No;Yes;Hosta;0;1332;Daily
Medium;6+ hours;Indoor;All seasons;Never needed;Never needed;No;Yes;Sedge;0;1333;Daily
Medium;6+ hours;Indoor;All seasons;Never needed;Never needed;No;Yes;Gul Mohar (Flame Tree);0;1334;Daily
Mini;6+ hours;Semi-outdoor;Summer;1-2 times a year;1-2 times a year;No;No;Daffodil;0;1335;Every 2-3 days
Mini;6+ hours;Semi-outdoor;Summer;1-2 times a year;1-2 times a year;No;No;Red Maple;0;1336;Every 2-3 days
Mini;6+ hours;Semi-outdoor;Summer;1-2 times a year;1-2 times a year;No;No;Ligustrum;0;1337;Every 2-3 days
Mini;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Black-Eyed Susan;0;1338;Weekly
Mini;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Bellflower;0;1339;Weekly
Mini;1-2 hours daily;Indoor;Spring;Monthly;Monthly;Yes;Yes;Wax Begonia;0;1340;Weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Amaryllis;0;1341;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Mandevilla;0;1342;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Mimosa;0;1343;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Yew;0;1344;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Mango;0;1345;Every 2-3 days
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Jacaranda;0;1346;Every 2-3 days
Small;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Succulent;0;1347;Weekly
Small;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Barrel Cactus;0;1348;Weekly
Small;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Nandina (Heavenly Bamboo);0;1349;Weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Passionflower;0;1350;Every 2-3 days
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Mandevilla;0;1351;Every 2-3 days
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Protea;0;1352;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Knautia;0;1353;Daily
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Galax;0;1354;Daily
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Clementine;0;1355;Daily
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Snake Plant;0;1356;Monthly
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Columbine;0;1357;Monthly
Mini;1-2 hours daily;Indoor;Winter;Monthly;Monthly;Yes;Yes;Calathea;0;1358;Monthly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Chayote;0;1359;Every 2-3 days
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cactus (Various);0;1360;Every 2-3 days
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Blanket Flower;0;1361;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Japanese Maple;0;1362;Monthly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Hummingbird Sage;0;1363;Monthly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Tarragon;0;1364;Monthly
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Galangal;0;1365;Daily
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Dahlia;0;1366;Daily
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Sedge;0;1367;Daily
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Olive Tree;0;1368;Weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Brassica;0;1369;Weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Buckwheat;0;1370;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ficus Tree;0;1371;Every 2-3 days
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Monstera;0;1372;Every 2-3 days
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Parlor Palm;0;1373;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Dandelion;0;1374;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Catnip;0;1375;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Mint;0;1376;Bi-weekly
Mini;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Purslane;0;1377;Every 2-3 days
Mini;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Poppy;0;1378;Every 2-3 days
Mini;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Lemon Tree;0;1379;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Arum Lily;0;1380;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Litchi;0;1381;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Chayote;0;1382;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Amaltas (Golden Shower);0;1383;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Periwinkle;0;1384;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Zucchini;0;1385;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Red Maple;0;1386;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Bamboo;0;1387;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Orchid (Phalaenopsis);0;1388;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Cockscomb (Celosia);0;1389;Monthly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Scilla;0;1390;Monthly
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Pomegranate;0;1391;Monthly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;No;No;Banyan Tree (Bargad);0;1392;Bi-weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;No;No;Ixia;0;1393;Bi-weekly
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;No;No;Chinese Evergreen;0;1394;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Dianella;0;1395;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Buckwheat;0;1396;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Laelia Orchid;0;1397;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Ice Plant;0;1398;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Wax Begonia;0;1399;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Taro;0;1400;Monthly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Daisy;0;1401;Bi-weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Tarragon;0;1402;Bi-weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Mulberry;0;1403;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Kiwi;0;1404;Monthly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Schefflera;0;1405;Monthly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Yucca;0;1406;Monthly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Cineraria;0;1407;Bi-weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Guava;0;1408;Bi-weekly
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Stevia;0;1409;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Chinese Money Plant;0;1410;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Coneflower;0;1411;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cilantro;0;1412;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Potato Vine;0;1413;Daily
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Echinacea;0;1414;Daily
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;String of Dolphins;0;1415;Daily
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Monstera Deliciosa;0;1416;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Indian Cress;0;1417;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Green Bean;0;1418;Bi-weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;No;Yes;Lavender (French);0;1419;Weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;No;Yes;String of Bananas;0;1420;Weekly
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;No;Yes;Pothos (Devil's Ivy);0;1421;Weekly
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cockscomb (Celosia);0;1422;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Croton;0;1423;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Lemongrass;0;1424;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Lavender (French);0;1425;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Pothos (Devil's Ivy);0;1426;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;No;No;Cabbage;0;1427;Every 2-3 days
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Cucumber;0;1428;Weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Clementine;0;1429;Weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Strawberry Plant;0;1430;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Amaranth;0;1431;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Calendula;0;1432;Bi-weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Philodendron;0;1433;Bi-weekly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Fern (Maidenhair);0;1434;Every 2-3 days
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Aloe Vera;0;1435;Every 2-3 days
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Fairy Lantern;0;1436;Every 2-3 days
Mini;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Japanese Anemone;0;1437;Monthly
Mini;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Scabiosa (Pincushion Flower);0;1438;Monthly
Mini;6+ hours;Indoor;Winter;Never needed;1-2 times a year;No;No;Echeveria;0;1439;Monthly
Small;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Lotus Bamboo;0;1440;Weekly
Small;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Galax;0;1441;Weekly
Small;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Candytuft;0;1442;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Peperomia;0;1443;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Hosta;0;1444;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Fairy Lantern;0;1445;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cananga (Ylang-Ylang);0;1446;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Grape Vine;0;1447;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Shasta Daisy;0;1448;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Hosta;0;1449;Weekly
